,apartment_type,price,location,link_to_property,contacts
55,4 bedroom detached duplex for sale,"₦160,000,000","Gbagada, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/gbagada/2296259-built-4-bedroom-fully-detached-duplex-with-bq-survey,08024086071
56,4 bedroom detached duplex for sale,"₦120,000,000","Lekki, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2296256-newly-built-4-bedroom-detached-duplex,07081397231
57,4 bedroom semi-detached duplex for sale,"₦250,000,000","Opebi, Ikeja, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/opebi/2296255-built-4-bedroom-standard-semi-detached-plus-bq-gov-consent,08024086071
58,4 bedroom semi-detached duplex for sale,"₦110,000,000","GRA Phase 1, Magodo, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-1/2296249-built-spacious-4-bedroom-semi-detached-duplex-gov-consent,08024086071
59,4 bedroom semi-detached duplex for sale,"₦90,000,000","Magodo, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/2296243-built-4-bedroom-semi-detached-duplex-in-a-secured-gov-consent,08024086071
60,4 bedroom terraced duplex for sale,"₦250,000,000","Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/2273868-brand-new-4-bedrooms-terrace-duplex-1-bq,07032562319
61,4 bedroom terraced duplex for sale,"₦385,000,000","Oniru Estate, Oniru, Victoria Island (VI), Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/victoria-island/oniru/2279437-brand-new-4-bedrooms-1-bq-terrace-duplex,07032562319
62,5 bedroom detached duplex for sale,"₦280,000,000","GRA Phase 2, Magodo, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/2296241-lovely-5-bedroom-detached-duplex-bq-c-of-o,08024086071
63,5 bedroom semi-detached duplex for sale,"₦700,000,000","Cowrie Creek Estate , Behind Nicon Town And Spa, Nicon Town, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/nicon-town/2191862-luxurious-five-bedroom-semi-detached-with-bq,08037027687
64,4 bedroom terraced duplex for sale,"₦90,000,000","2nd Toll Gate Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2281988-brand-new-4-bedrooms-terrace-duplex,07032562319
65,5 bedroom detached duplex for sale,"₦250,000,000","Chevron Alternative, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296240-5-bedroom-fully-detached-duplex-with-bq-and-swimming-pool,08134007094
66,4 bedroom detached duplex for sale,"₦110,000,000","Gbagada, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/gbagada/2296237-newly-built-4-bedroom-detached-duplex-bq-c-of-o,08024086071
67,5 bedroom detached duplex for sale,"₦320,000,000","Chevron Alternative, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296229-exotic-5-bedroom-fully-detached-duplex-with-bq-and-swimming-pool,08134007094
68,6 bedroom detached duplex for sale,"₦250,000,000","Ojodu Berger, Ojodu, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/2296236-luxury-6-bedroom-detached-duplex-bq-gov-consent,08024086071
69,4 bedroom semi-detached duplex for sale,"₦135,000,000","Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate-elegushi/2296235-most-affordable-4bedroom-semi-detached-home-with-a-boys-quarter,08083843273
70,5 bedroom detached duplex for sale,"₦280,000,000","Ojodu Berger, Ojodu, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/2296234-newly-built-5-bedroom-detached-duplex-bq-gov-consent,08024086071
71,14 bedroom block of flats for sale,"₦55,000,000","Solomade, Ebute, Ikorodu, Lagos",https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/ikorodu/ebute/2296231-property-at-a-prime-location,09074086852
72,4 bedroom semi-detached duplex for sale,"₦160,000,000","2nd Toll Gate, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2296228-stunning-4bedroom-semi-detached-home-with-boys-quarter,08083843273
73,2 bedroom block of flats for sale,"₦140,000,000","Luxurious 2bed Apartment Suitable For Family&investment In Lekkiphase1, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/lekki-phase-1/2296227-exquisitely-designed-2-bedroom-apartment-with-nice-features-fittings,07012894830
74,5 bedroom detached duplex for sale,"$2,000,000  ,approx. ₦2,942,440,754","Ikoyi, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/2296223-luxurious-5bedroom-fully-detached-duplex,08083843273
75,4 bedroom detached duplex for sale,"₦170,000,000","Elegantly Crafted 4bed Detached Duplex With Pool In Ajah Lekki Lagos, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2296219-plushly-finished-4bed-detached-home-with-pool-in-a-secured-estate,07012894830
76,4 bedroom house for sale,"₦200,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/2296211-4-bedroom-fully-detached-duplex,09169112315
77,4 bedroom detached duplex for sale,"₦110,000,000","Orchid Road, Chevron, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296208-luxury-4-bedroom-fully-detached-house-with-large-drive-way,08033389765
78,4 bedroom house for sale,"₦130,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/2296204-4-bedroom-fully-detached-duplex,09169112315
79,4 bedroom semi-detached duplex for sale,"₦118,000,000","GRA Phase 1, Magodo, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/magodo/gra-phase-1/2296203-luxury-4-bedroom-semi-detached-duplex,09137434127
80,4 bedroom house for sale,"₦95,000,000","Abraham Adesanya, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/2296202-4-bedroom-semi-detached-duplex,09169112315
81,5 bedroom detached duplex for sale,"₦150,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296201-5-bedroom-fully-detached-duplex,09169112315
82,4 bedroom semi-detached duplex for sale,"₦130,000,000","Abraham Adesanya, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2296182-corner-piece-newly-built-4-bedroom-semi-detached-house-with-a-bq,09036860754
83,4 bedroom house for sale,"₦85,000,000","Abraham Adesanya, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/2296199-4-bedroom-terraced-duplex,09169112315
84,4 bedroom semi-detached duplex for sale,"₦380,000,000","Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/2283857-4-bedroom,09090852826
85,4 bedroom terraced duplex for sale,"₦150,000,000","Ifako, Ifako, Gbagada, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/gbagada/ifako-gbagada/2296197-4-bedroom-terraced-duplex-available-in-a-serene-area,09063496405
86,4 bedroom house for sale,"₦225,000,000","Ikate, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/ikate/2296196-4-bedroom-fully-detached-duplex,09169112315
87,4 bedroom house for sale,"₦125,000,000","Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/lekki-phase-1/2296195-4-bedroom-fully-detached-duplex,09169112315
88,3 bedroom terraced duplex for sale,"₦65,000,000","Orchid Road, Arapagi Oloko, Ibeju Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki-ibeju/arapagi-oloko/2296193-3-bedroom-terraced-duplex,09169112315
89,4 bedroom detached duplex for sale,"₦120,000,000","Abraham Adesanya, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2296189-great-value-beautifully-finished-4-bed-fully-detached-duplex-with-swim,07040767631
90,4 bedroom semi-detached duplex for sale,"₦140,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2296188-4-bedroom-semi-detached-duplex,09169112315
91,5 bedroom detached duplex for sale,"₦175,000,000","Orchid Road, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2296179-5-bedroom-fully-detached-duplex,09169112315
92,3 bedroom terraced duplex for sale,"₦70,000,000","Orchid Road, Chevron, Lekki, Lagos",https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2296178-newly-built-2-3-and-4-bedroom-terrace-houses-in-a-serene-estate,08033389765
93,4 bedroom detached duplex for sale,"₦100,000,000","Thomas Estate, Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2262602-beautifully-finished-4-bedroom-fully-detached-home,08160460026
94,4 bedroom detached duplex for sale,"₦120,000,000","Ajah, Lagos",https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2252283-beautifully-finished-4-bedroom-fully-detached-home,08160460026
